SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20190103,36467W109,GME,672.0,GAMESTOP CORP (HLDG CO) CL A,13.07
20190104,36467W109,GME,9626.0,GAMESTOP CORP (HLDG CO) CL A,12.97
20190108,36467W109,GME,58131.0,GAMESTOP CORP (HLDG CO) CL A,15.48
20190109,36467W109,GME,124.0,GAMESTOP CORP (HLDG CO) CL A,15.81
20190110,36467W109,GME,2143.0,GAMESTOP CORP (HLDG CO) CL A,15.98
20190111,36467W109,GME,6835.0,GAMESTOP CORP (HLDG CO) CL A,15.96
20190115,36467W109,GME,159.0,GAMESTOP CORP (HLDG CO) CL A,15.64
20190118,36467W109,GME,9787.0,GAMESTOP CORP (HLDG CO) CL A,15.77
20190123,36467W109,GME,900.0,GAMESTOP CORP (HLDG CO) CL A,15.27
20190128,36467W109,GME,165.0,GAMESTOP CORP (HLDG CO) CL A,15.90
20190129,36467W109,GME,4865.0,GAMESTOP CORP (HLDG CO) CL A,15.50
20190131,36467W109,GME,504056.0,GAMESTOP CORP (HLDG CO) CL A,11.20
20190204,36467W109,GME,12748.0,GAMESTOP CORP (HLDG CO) CL A,11.24
20190205,36467W109,GME,161459.0,GAMESTOP CORP (HLDG CO) CL A,11.37
20190212,36467W109,GME,296.0,GAMESTOP CORP (HLDG CO) CL A,11.30
20190214,36467W109,GME,3983.0,GAMESTOP CORP (HLDG CO) CL A,11.47
20190215,36467W109,GME,3700.0,GAMESTOP CORP (HLDG CO) CL A,11.33
20190219,36467W109,GME,89.0,GAMESTOP CORP (HLDG CO) CL A,11.43
20190220,36467W109,GME,2172.0,GAMESTOP CORP (HLDG CO) CL A,11.20
20190221,36467W109,GME,23112.0,GAMESTOP CORP (HLDG CO) CL A,11.20
20190222,36467W109,GME,781.0,GAMESTOP CORP (HLDG CO) CL A,11.03
20190225,36467W109,GME,3832.0,GAMESTOP CORP (HLDG CO) CL A,11.37
20190226,36467W109,GME,68863.0,GAMESTOP CORP (HLDG CO) CL A,11.55
20190227,36467W109,GME,2900.0,GAMESTOP CORP (HLDG CO) CL A,11.64
20190301,36467W109,GME,988.0,GAMESTOP CORP (HLDG CO) CL A,11.70
20190304,36467W109,GME,1847.0,GAMESTOP CORP (HLDG CO) CL A,11.75
20190305,36467W109,GME,38610.0,GAMESTOP CORP (HLDG CO) CL A,11.57
20190306,36467W109,GME,103208.0,GAMESTOP CORP (HLDG CO) CL A,11.60
20190307,36467W109,GME,102123.0,GAMESTOP CORP (HLDG CO) CL A,11.56
20190311,36467W109,GME,2654.0,GAMESTOP CORP (HLDG CO) CL A,10.97
20190312,36467W109,GME,295783.0,GAMESTOP CORP (HLDG CO) CL A,11.26
20190313,36467W109,GME,112012.0,GAMESTOP CORP (HLDG CO) CL A,11.47
