Date,Close/Last,Volume,Open,High,Low
07/08/2024,$5.47,34771730,$5.08,$5.73,$5.075
07/05/2024,$5.05,10995870,$5.06,$5.1562,$4.95
07/03/2024,$5.03,13782580,$5.25,$5.33,$4.95
07/02/2024,$5.21,24162920,$5.02,$5.36,$5.00
07/01/2024,$5.04,19104760,$4.87,$5.165,$4.825
06/28/2024,$4.98,48889130,$4.72,$4.99,$4.67
06/27/2024,$4.78,16376060,$4.63,$4.90,$4.61
06/26/2024,$4.68,17566020,$4.48,$4.69,$4.39
06/25/2024,$4.53,18788890,$4.50,$4.54,$4.33
06/24/2024,$4.57,15029720,$4.49,$4.58,$4.44
06/21/2024,$4.55,31059170,$4.83,$4.87,$4.47
06/20/2024,$4.81,18315920,$4.82,$4.98,$4.72
06/18/2024,$4.86,18998000,$4.81,$5.07,$4.71
06/17/2024,$4.89,27869470,$4.95,$5.18,$4.74
06/14/2024,$4.99,33427160,$5.18,$5.53,$4.89
06/13/2024,$5.20,33608500,$4.96,$5.385,$4.94
06/12/2024,$4.91,45701420,$5.13,$5.445,$4.89
06/11/2024,$5.22,64375830,$4.70,$5.495,$4.63
06/10/2024,$4.71,30729770,$4.93,$4.9791,$4.56
06/07/2024,$4.91,157290600,$5.30,$5.94,$4.78
06/06/2024,$5.79,131091600,$5.05,$5.96,$4.97
06/05/2024,$5.15,61745780,$4.71,$5.31,$4.62
06/04/2024,$4.79,33712600,$4.67,$4.91,$4.57
06/03/2024,$4.81,139690700,$5.44,$5.70,$4.64
05/31/2024,$4.33,29705760,$4.25,$4.39,$4.10
05/30/2024,$4.23,33054610,$4.44,$4.495,$4.225
05/29/2024,$4.50,40969490,$4.76,$4.78,$4.43
05/28/2024,$4.88,77858620,$5.01,$5.37,$4.66
05/24/2024,$4.84,41243170,$4.66,$4.95,$4.62
05/23/2024,$4.55,48253250,$5.00,$5.18,$4.55
05/22/2024,$5.06,62877000,$4.64,$5.23,$4.45
05/21/2024,$4.65,67250520,$4.67,$5.11,$4.60
05/20/2024,$4.83,84265210,$4.35,$4.93,$4.32
05/17/2024,$4.40,100445600,$4.51,$4.98,$4.32
05/16/2024,$4.64,129501900,$5.05,$5.30,$4.62
05/15/2024,$5.48,309600900,$6.10,$6.60,$4.71
05/14/2024,$6.85,634246600,$11.88,$11.88,$5.85
05/13/2024,$5.19,522639600,$3.52,$5.88,$3.16
05/10/2024,$2.91,24069830,$3.06,$3.185,$2.90
05/09/2024,$3.05,31669450,$3.02,$3.175,$2.91
05/08/2024,$3.19,26939030,$3.15,$3.27,$3.07
05/07/2024,$3.19,24452720,$3.27,$3.27,$3.06
05/06/2024,$3.29,41059310,$3.26,$3.44,$3.04
05/03/2024,$3.30,35844130,$3.15,$3.39,$3.12
05/02/2024,$3.13,16254110,$3.04,$3.22,$2.9711
05/01/2024,$2.97,14826030,$2.92,$3.07,$2.835
04/30/2024,$2.93,9370199,$3.02,$3.03,$2.92
04/29/2024,$3.03,24403240,$3.33,$3.35,$2.96
04/26/2024,$3.41,15423910,$3.28,$3.49,$3.22
04/25/2024,$3.28,13258770,$3.15,$3.28,$3.10
04/24/2024,$3.28,13666550,$3.38,$3.50,$3.17
04/23/2024,$3.39,16326140,$3.40,$3.55,$3.36
04/22/2024,$3.42,26989500,$3.20,$3.49,$3.00
04/19/2024,$3.16,28616240,$2.89,$3.30,$2.83
04/18/2024,$2.92,13960270,$2.99,$3.00,$2.76
04/17/2024,$2.98,26016430,$2.94,$3.03,$2.82
04/16/2024,$2.72,31338580,$2.44,$2.89,$2.38
04/15/2024,$2.47,16163210,$2.67,$2.68,$2.46
04/12/2024,$2.65,16726540,$2.76,$2.78,$2.61
04/11/2024,$2.80,15594640,$2.89,$2.89,$2.73
04/10/2024,$2.83,16257060,$2.90,$2.91,$2.77
04/09/2024,$2.97,9334024,$2.97,$3.015,$2.95
04/08/2024,$2.95,9716619,$3.04,$3.045,$2.95
04/05/2024,$3.01,11341100,$3.01,$3.05,$2.95
04/04/2024,$3.00,16686820,$3.02,$3.15,$2.98
04/03/2024,$3.02,22202870,$3.12,$3.12,$2.935
04/02/2024,$3.10,19707350,$3.18,$3.21,$3.06
04/01/2024,$3.14,46101720,$3.74,$3.77,$3.12
03/28/2024,$3.72,44200800,$3.84,$3.96,$3.65
03/27/2024,$4.34,12992370,$4.13,$4.37,$4.07
03/26/2024,$4.07,13948730,$4.14,$4.30,$4.06
03/25/2024,$4.09,8252161,$4.11,$4.24,$4.06
03/22/2024,$4.08,7325477,$4.17,$4.18,$4.06
03/21/2024,$4.20,7592106,$4.25,$4.30,$4.15
03/20/2024,$4.25,8398335,$4.25,$4.28,$4.15
03/19/2024,$4.27,8181242,$4.35,$4.41,$4.24
03/18/2024,$4.39,8581603,$4.43,$4.49,$4.36
03/15/2024,$4.44,17770870,$4.20,$4.54,$4.20
03/14/2024,$4.27,9477880,$4.37,$4.38,$4.17
03/13/2024,$4.36,8553919,$4.32,$4.45,$4.30
03/12/2024,$4.34,7131875,$4.38,$4.41,$4.27
03/11/2024,$4.36,12463050,$4.30,$4.50,$4.25
03/08/2024,$4.30,17507600,$4.68,$4.78,$4.24
03/07/2024,$4.60,19618810,$4.60,$4.90,$4.52
03/06/2024,$4.56,12789170,$4.52,$4.69,$4.4007
03/05/2024,$4.50,13744890,$4.23,$4.55,$4.21
03/04/2024,$4.32,14610480,$4.36,$4.39,$4.12
