Date,Close/Last,Volume,Open,High,Low
07/08/2024,$24.80,8311032,$24.98,$25.42,$24.23
07/05/2024,$24.98,9202049,$23.92,$25.26,$23.7271
07/03/2024,$24.10,8324602,$24.81,$25.48,$24.065
07/02/2024,$24.87,17720050,$25.36,$25.39,$23.62
07/01/2024,$25.44,62002310,$29.77,$30.00,$25.29
06/28/2024,$27.24,23901310,$28.10,$28.16,$25.5003
06/27/2024,$29.05,64395010,$28.85,$39.10,$27.15
06/26/2024,$29.14,22341780,$29.30,$30.63,$28.71
06/25/2024,$29.99,22843100,$27.00,$30.21,$26.79
06/24/2024,$26.95,23695720,$25.34,$27.57,$24.79
06/21/2024,$25.47,10460930,$25.50,$26.01,$24.755
06/20/2024,$25.50,13567600,$25.83,$26.84,$24.93
06/18/2024,$25.97,29690880,$22.83,$27.08,$22.82
06/17/2024,$22.81,5635473,$22.17,$23.065,$21.89
06/14/2024,$22.14,6874005,$23.19,$23.23,$21.73
06/13/2024,$23.25,6715913,$22.65,$23.55,$22.62
06/12/2024,$22.42,5654823,$23.06,$23.59,$22.36
06/11/2024,$22.85,5186574,$22.585,$23.07,$22.26
06/10/2024,$22.68,10253730,$22.67,$22.915,$22.0834
06/07/2024,$22.75,11794630,$23.46,$24.17,$22.74
06/06/2024,$23.85,10227470,$22.51,$24.01,$22.4729
06/05/2024,$22.60,7989916,$22.20,$23.05,$22.16
06/04/2024,$22.23,8697909,$22.14,$23.079,$22.10
06/03/2024,$22.26,9541763,$21.59,$22.3935,$21.38
05/31/2024,$21.21,11190420,$21.72,$21.77,$20.515
05/30/2024,$21.54,17706000,$21.77,$22.68,$21.1011
05/29/2024,$21.50,66623070,$19.33,$22.05,$19.16
05/28/2024,$16.91,11231200,$16.85,$17.03,$16.445
05/24/2024,$16.57,6975776,$16.40,$16.6977,$16.11
05/23/2024,$16.26,8045690,$16.40,$16.57,$16.06
05/22/2024,$16.38,8288560,$16.90,$17.2096,$16.35
05/21/2024,$16.70,5868825,$16.11,$16.77,$16.11
05/20/2024,$16.28,5771475,$16.10,$16.29,$15.78
05/17/2024,$16.04,10314450,$16.59,$16.72,$15.80
05/16/2024,$16.97,6929075,$16.50,$16.97,$16.41
05/15/2024,$16.32,6905647,$17.00,$17.1185,$16.31
05/14/2024,$16.83,13711210,$16.51,$17.325,$16.46
05/13/2024,$16.10,8447257,$15.59,$16.47,$15.53
05/10/2024,$15.44,8332747,$16.50,$16.59,$15.27
05/09/2024,$16.40,7026314,$15.51,$16.42,$15.51
