Date,Close/Last,Volume,Open,High,Low
07/08/2024,$10.49,10111280,$11.62,$11.95,$9.50
07/05/2024,$13.35,57882390,$13.90,$18.50,$12.65
07/03/2024,$10.63,70055500,$5.25,$18.73,$5.22
07/02/2024,$4.36,251753,$4.64,$4.73,$4.3104
07/01/2024,$4.59,94549,$4.47,$4.63,$4.40
06/28/2024,$4.45,164672,$4.18,$4.6404,$4.15
06/27/2024,$4.20,153350,$4.17,$4.30,$4.05
06/26/2024,$4.20,95766,$4.02,$4.29,$4.00
06/25/2024,$4.02,52662,$3.89,$4.02,$3.81
06/24/2024,$3.88,32551,$3.89,$4.00,$3.81
06/21/2024,$3.94,52884,$3.93,$3.9714,$3.81
06/20/2024,$3.93,60935,$3.85,$4.04,$3.8201
06/18/2024,$3.88,105048,$3.97,$4.01,$3.83
06/17/2024,$4.00,71104,$4.00,$4.14,$3.9501
06/14/2024,$4.02,110759,$4.20,$4.29,$3.93
06/13/2024,$4.24,132913,$4.33,$4.40,$4.05
06/12/2024,$4.32,228037,$4.45,$4.68,$4.29
06/11/2024,$4.40,451844,$4.19,$4.50,$4.16
06/10/2024,$4.29,268823,$4.45,$4.79,$4.25
06/07/2024,$4.56,1438050,$4.60,$5.39,$4.45
06/06/2024,$5.52,1476778,$4.79,$5.5865,$4.57
06/05/2024,$4.78,339164,$4.68,$4.8399,$4.49
06/04/2024,$4.65,218476,$4.67,$4.81,$4.2635
06/03/2024,$4.73,917280,$5.35,$5.50,$4.62
05/31/2024,$4.70,69833,$4.66,$4.78,$4.5001
05/30/2024,$4.62,111045,$4.68,$4.8344,$4.50
05/29/2024,$4.68,142178,$4.89,$5.0799,$4.60
05/28/2024,$5.00,351648,$5.00,$5.43,$4.80
05/24/2024,$5.01,199643,$4.99,$5.24,$4.71
05/23/2024,$5.005,206734,$5.15,$5.1799,$4.67
05/22/2024,$5.26,381747,$5.15,$5.4453,$4.95
05/21/2024,$5.25,325385,$5.13,$5.32,$4.77
05/20/2024,$5.29,746435,$4.39,$5.50,$4.38
05/17/2024,$4.79,860648,$4.30,$5.0526,$4.0187
05/16/2024,$4.73,776086,$4.69,$4.9531,$4.32
05/15/2024,$4.97,2973965,$4.98,$5.24,$4.21
05/14/2024,$6.15,19694160,$5.94,$6.9499,$5.31
05/13/2024,$4.37,19537380,$3.86,$5.53,$3.62
05/10/2024,$3.1978,360496,$3.49,$3.75,$3.1201
05/09/2024,$3.57,183363,$3.34,$3.74,$3.16
05/08/2024,$3.32,236041,$3.21,$3.52,$3.12
05/07/2024,$3.34,306494,$3.38,$3.5999,$3.21
05/06/2024,$3.38,668736,$3.10,$3.75,$2.93
05/03/2024,$3.10,346974,$2.39,$3.35,$2.3478
05/02/2024,$2.3899,23094,$2.40,$2.41,$2.31
05/01/2024,$2.35,6727,$2.30,$2.37,$2.30
04/30/2024,$2.3321,1996,$2.34,$2.34,$2.315
04/29/2024,$2.33,13240,$2.38,$2.40,$2.30
04/26/2024,$2.40,12568,$2.38,$2.4898,$2.37
04/25/2024,$2.426,3270,$2.4646,$2.4699,$2.3983
04/24/2024,$2.45,5612,$2.3894,$2.49,$2.3711
