Date,Close/Last,Volume,Open,High,Low
07/08/2024,$2.17,6650148,$2.10,$2.31,$2.10
07/05/2024,$2.08,19541940,$2.40,$2.51,$2.02
07/03/2024,$2.68,3876334,$2.45,$2.71,$2.41
07/02/2024,$2.43,6497973,$2.70,$2.7499,$2.415
07/01/2024,$2.71,3783498,$2.87,$2.95,$2.71
06/28/2024,$2.96,6951210,$2.98,$3.035,$2.865
06/27/2024,$3.03,8671564,$2.68,$3.06,$2.63
06/26/2024,$2.66,4018998,$2.66,$2.82,$2.64
06/25/2024,$2.65,4335453,$2.72,$2.76,$2.63
06/24/2024,$2.76,5671019,$2.77,$2.84,$2.58
06/21/2024,$2.78,7064195,$2.73,$2.81,$2.63
06/20/2024,$2.72,6015888,$2.96,$2.96,$2.66
06/18/2024,$2.83,5755554,$2.73,$2.905,$2.6309
06/17/2024,$2.68,6925245,$2.81,$2.85,$2.51
06/14/2024,$2.80,8242725,$3.14,$3.17,$2.74
06/13/2024,$3.105,7372361,$3.41,$3.51,$3.08
06/12/2024,$3.37,11640230,$3.705,$3.97,$3.34
06/11/2024,$3.505,6767053,$3.37,$3.56,$3.22
06/10/2024,$3.42,8035838,$3.29,$3.56,$3.16
06/07/2024,$3.315,36330200,$3.38,$4.25,$3.30
06/06/2024,$3.46,15179420,$3.23,$3.66,$3.12
06/05/2024,$3.25,4959840,$3.12,$3.26,$3.02
06/04/2024,$3.06,7902405,$3.21,$3.23,$2.91
06/03/2024,$3.24,16898930,$3.66,$3.75,$3.22
05/31/2024,$3.34,8961416,$3.51,$3.63,$3.16
05/30/2024,$3.405,12994820,$3.07,$3.48,$2.9701
05/29/2024,$3.09,8615445,$2.85,$3.16,$2.81
05/28/2024,$2.98,12994830,$3.07,$3.3599,$2.93
05/24/2024,$2.92,7558559,$2.81,$2.97,$2.76
05/23/2024,$2.78,12067450,$3.16,$3.17,$2.75
05/22/2024,$3.13,63311370,$3.26,$3.74,$2.78
05/21/2024,$2.74,5452657,$2.75,$2.95,$2.62
05/20/2024,$2.82,5550758,$2.89,$2.89,$2.69
05/17/2024,$2.85,12877340,$3.12,$3.2488,$2.71
05/16/2024,$3.29,15813730,$3.07,$3.31,$2.83
05/15/2024,$3.11,25416470,$3.40,$3.76,$3.01
05/14/2024,$4.39,137687300,$5.03,$5.63,$3.88
05/13/2024,$2.75,20836640,$2.37,$2.92,$2.35
05/10/2024,$2.30,3425106,$2.41,$2.4361,$2.25
05/09/2024,$2.37,4164999,$2.24,$2.39,$2.19
05/08/2024,$2.20,2708066,$2.26,$2.28,$2.1625
05/07/2024,$2.33,2752176,$2.37,$2.40,$2.32
05/06/2024,$2.36,3200533,$2.37,$2.49,$2.3325
05/03/2024,$2.34,4653891,$2.26,$2.44,$2.24
05/02/2024,$2.18,4318601,$2.14,$2.18,$2.05
05/01/2024,$2.08,5028222,$2.10,$2.265,$2.06
04/30/2024,$2.06,3650627,$2.13,$2.14,$2.05
04/29/2024,$2.16,4650087,$1.99,$2.18,$1.97
04/26/2024,$1.99,4707686,$1.90,$2.00,$1.89
04/25/2024,$1.88,6573124,$1.92,$1.92,$1.81
04/24/2024,$1.94,6781893,$2.01,$2.09,$1.91
04/23/2024,$1.96,10992510,$1.79,$2.31,$1.765
04/22/2024,$2.14,3343150,$2.25,$2.26,$2.14
04/19/2024,$2.21,6349575,$2.24,$2.26,$2.17
04/18/2024,$2.26,3955438,$2.29,$2.38,$2.2301
04/17/2024,$2.31,6018689,$2.34,$2.42,$2.24
04/16/2024,$2.31,3543773,$2.31,$2.35,$2.25
04/15/2024,$2.36,7077576,$2.43,$2.45,$2.21
04/12/2024,$2.48,4202942,$2.50,$2.61,$2.46
04/11/2024,$2.50,3970663,$2.55,$2.615,$2.46
04/10/2024,$2.55,5307835,$2.64,$2.66,$2.50
04/09/2024,$2.76,4824443,$2.63,$2.81,$2.60
04/08/2024,$2.62,3329752,$2.69,$2.875,$2.62
04/05/2024,$2.66,4917486,$2.79,$2.81,$2.655
04/04/2024,$2.85,4262188,$2.97,$3.10,$2.82
04/03/2024,$2.90,3050158,$2.75,$2.91,$2.72
04/02/2024,$2.80,3425739,$2.82,$2.90,$2.745
04/01/2024,$2.90,4284826,$3.00,$3.08,$2.84
03/28/2024,$3.00,6330924,$2.81,$3.06,$2.81
03/27/2024,$2.87,8520388,$2.54,$2.90,$2.52
03/26/2024,$2.49,6026711,$2.65,$2.69,$2.49
03/25/2024,$2.57,4307187,$2.75,$2.82,$2.565
03/22/2024,$2.75,3718447,$2.99,$2.9907,$2.75
03/21/2024,$2.99,4706735,$3.04,$3.1208,$2.95
03/20/2024,$2.98,5647161,$2.71,$3.06,$2.68
03/19/2024,$2.76,3784055,$2.76,$2.8494,$2.72
03/18/2024,$2.82,5747843,$2.82,$2.86,$2.635
03/15/2024,$2.83,8883462,$2.66,$2.85,$2.63
03/14/2024,$2.67,6379456,$2.64,$2.685,$2.52
03/13/2024,$2.64,4961881,$2.72,$2.775,$2.63
03/12/2024,$2.75,7037864,$2.95,$2.95,$2.74
03/11/2024,$2.95,4539098,$3.01,$3.215,$2.92
03/08/2024,$3.03,7999295,$2.97,$3.14,$2.94
03/07/2024,$2.90,5050169,$3.00,$3.06,$2.87
03/06/2024,$2.98,6389243,$3.11,$3.158,$2.98
03/05/2024,$3.07,4309960,$3.18,$3.2488,$3.06
03/04/2024,$3.25,6231745,$3.19,$3.30,$3.03
03/01/2024,$3.18,6722927,$3.11,$3.29,$3.02
02/29/2024,$3.11,11875780,$3.27,$3.685,$3.01
02/28/2024,$3.17,4590982,$3.23,$3.3799,$3.14
02/27/2024,$3.28,9244838,$3.10,$3.37,$2.9808
02/26/2024,$3.15,5175298,$3.18,$3.2999,$3.07
02/23/2024,$3.18,6404497,$3.17,$3.265,$3.13
02/22/2024,$3.16,7677301,$3.45,$3.47,$3.16
02/21/2024,$3.43,5796382,$3.35,$3.48,$3.25
02/20/2024,$3.47,6977494,$3.58,$3.615,$3.43
02/16/2024,$3.62,12305730,$3.82,$4.17,$3.61
02/15/2024,$4.28,23475310,$4.93,$5.20,$3.84
02/14/2024,$4.265,8902804,$3.89,$4.32,$3.7201
02/13/2024,$3.695,9153288,$3.84,$3.95,$3.53
02/12/2024,$4.16,13635840,$3.60,$4.33,$3.54
02/09/2024,$3.58,5590501,$3.27,$3.58,$3.25
02/08/2024,$3.23,3933774,$3.23,$3.36,$3.19
02/07/2024,$3.30,5691940,$3.46,$3.5404,$3.17
02/06/2024,$3.25,4301933,$3.11,$3.25,$3.06
