Date,Close/Last,Volume,Open,High,Low
07/08/2024,$9.24,105092000,$7.00,$10.10,$6.00
07/05/2024,$4.07,50348990,$4.50,$5.20,$3.36
07/03/2024,$2.72,25523620,$2.67,$3.70,$2.41
07/02/2024,$2.39,35282330,$2.04,$3.20,$1.86
07/01/2024,$1.90,381485,$2.02,$2.10,$1.83
06/28/2024,$2.02,357846,$2.26,$2.34,$2.00
06/27/2024,$2.23,1418861,$1.98,$2.47,$1.9437
06/26/2024,$2.00,851037,$2.11,$2.2556,$1.8572
06/25/2024,$2.13,913070,$2.17,$2.1982,$1.82
06/24/2024,$2.14,1501227,$2.26,$2.73,$2.14
06/21/2024,$2.21,2107082,$2.20,$2.4092,$1.95
06/20/2024,$2.36,91493090,$1.93,$3.85,$1.71
06/18/2024,$1.36,739569,$1.61,$1.6468,$1.35
06/17/2024,$1.79,1980841,$1.96,$2.22,$1.67
06/14/2024,$2.17,7924552,$1.97,$2.64,$1.8301
06/13/2024,$2.43,54502220,$0.792,$3.07,$0.7505
06/12/2024,$0.715,56928,$0.7152,$0.79,$0.70
06/11/2024,$0.75,47897,$0.715,$0.80,$0.70
06/10/2024,$0.76,153309,$0.823,$0.8398,$0.7351
06/07/2024,$0.8216,55537,$0.88,$0.92,$0.8102
06/06/2024,$0.8756,128754,$0.85,$0.9327,$0.8287
06/05/2024,$0.857,24751,$0.839,$0.86,$0.83
06/04/2024,$0.8202,158769,$0.94,$0.98,$0.8166
06/03/2024,$0.94,53768,$1.01,$1.01,$0.9365
05/31/2024,$0.9925,50766,$0.97,$1.01,$0.9156
05/30/2024,$0.94,94137,$0.9861,$1.00,$0.905
05/29/2024,$0.9501,52092,$0.9938,$1.10,$0.9249
05/28/2024,$0.9938,60344,$0.9689,$1.03,$0.93
05/24/2024,$0.98,167002,$1.02,$1.09,$0.86
05/23/2024,$1.02,276196,$1.08,$1.14,$0.93
05/22/2024,$1.08,189423,$1.25,$1.265,$1.04
05/21/2024,$1.2849,77028,$1.25,$1.35,$1.2126
05/20/2024,$1.25,162607,$1.33,$1.50,$1.20
05/17/2024,$1.29,73998,$1.34,$1.359,$1.28
05/16/2024,$1.30,128458,$1.41,$1.4487,$1.26
05/15/2024,$1.40,233228,$1.54,$1.6399,$1.2499
05/14/2024,$1.45,201563,$1.63,$1.661,$1.38
05/13/2024,$1.60,92531,$1.65,$1.75,$1.59
05/10/2024,$1.65,113241,$1.66,$1.97,$1.62
